,median_income,total_population,tract,race,population
37,122941.0,2709.0,121908,white_non_hispanic,1842.0
1215,81536.0,8331.0,121909,other_non_hispanic,808.0
1171,91833.0,7385.0,121910,other_non_hispanic,516.0
475,35292.0,1623.0,130200,black_non_hispanic,275.0
614,34449.0,3360.0,130300,black_non_hispanic,538.0
531,32027.0,4081.0,130401,black_non_hispanic,453.0
617,26147.0,4197.0,130402,black_non_hispanic,834.0
390,26651.0,4806.0,130500,black_non_hispanic,1494.0
532,27308.0,3878.0,130600,black_non_hispanic,1198.0
616,19754.0,2636.0,130700,black_non_hispanic,360.0
481,26679.0,6068.0,130800,black_non_hispanic,2818.0
442,30123.0,5246.0,130900,black_non_hispanic,2230.0
539,26228.0,5206.0,131000,black_non_hispanic,2362.0
668,38800.0,2651.0,131100,black_non_hispanic,976.0
580,25446.0,2806.0,131200,black_non_hispanic,941.0
670,37561.0,6156.0,131300,black_non_hispanic,1886.0
624,63961.0,11090.0,131401,black_non_hispanic,2086.0
672,44655.0,3023.0,131402,black_non_hispanic,571.0
540,47589.0,3119.0,131503,black_non_hispanic,401.0
623,48221.0,4824.0,131504,black_non_hispanic,599.0
673,58171.0,5790.0,131505,black_non_hispanic,2013.0
584,55610.0,3859.0,131506,black_non_hispanic,910.0
398,46382.0,6326.0,131507,black_non_hispanic,961.0
1311,99219.0,5645.0,131601,other_non_hispanic,575.0
586,79000.0,6056.0,131606,black_non_hispanic,1428.0
448,66406.0,5928.0,131608,black_non_hispanic,1976.0
490,77913.0,6725.0,131609,black_non_hispanic,1279.0
1268,69531.0,5029.0,131610,other_non_hispanic,425.0
850,67031.0,873.0,131611,asian_non_hispanic,110.0
627,71950.0,1940.0,131612,black_non_hispanic,505.0
489,61738.0,4066.0,131613,black_non_hispanic,919.0
401,71875.0,4009.0,131614,black_non_hispanic,1387.0
720,64388.0,7458.0,131615,black_non_hispanic,1838.0
131,104464.0,1129.0,131700,white_non_hispanic,770.0
226,84750.0,2116.0,131801,white_non_hispanic,1781.0
315,67075.0,4327.0,131802,white_non_hispanic,2239.0
1663,48295.0,1261.0,140100,hispanic,978.0
1609,31932.0,3377.0,140200,hispanic,2972.0
1560,24865.0,3590.0,140300,hispanic,3340.0
1612,40250.0,3631.0,140400,hispanic,3143.0
1475,45938.0,4234.0,140500,hispanic,3301.0
1477,40042.0,2861.0,140600,hispanic,2445.0
1439,36222.0,4838.0,140700,other_non_hispanic,189.0
1744,43299.0,5124.0,140800,hispanic,4631.0
1748,32857.0,1949.0,140900,hispanic,1623.0
663,31233.0,3531.0,141000,black_non_hispanic,382.0
1566,28275.0,4194.0,141101,hispanic,3280.0
1619,38000.0,3319.0,141102,hispanic,2603.0
1802,37545.0,7628.0,141200,hispanic,6484.0
484,41994.0,6851.0,141300,black_non_hispanic,950.0
1755,80649.0,5986.0,141402,hispanic,4717.0
173,50142.0,4803.0,141403,white_non_hispanic,1417.0
1480,39957.0,5953.0,141404,hispanic,4663.0
